time,open,high,low,close,volume
2025-10-07 22:00:00,3984.298,3988.875,3982.748,3988.255,1268
2025-10-07 22:15:00,3988.305,3990.348,3988.085,3990.235,1386
2025-10-07 22:30:00,3990.215,3990.335,3988.475,3990.055,1142
2025-10-07 22:45:00,3990.035,3990.085,3986.948,3989.248,1128
2025-10-07 23:00:00,3989.248,3991.798,3988.945,3989.548,1733
2025-10-07 23:15:00,3989.468,3991.945,3988.275,3988.785,1334
2025-10-07 23:30:00,3988.865,3990.645,3988.135,3990.025,746
2025-10-07 23:45:00,3990.065,3995.775,3990.065,3994.145,2996
2025-10-08 00:00:00,3994.098,3997.298,3993.975,3996.648,2416
2025-10-08 00:15:00,3996.548,3999.048,3996.115,3998.248,2257
2025-10-08 00:30:00,3998.248,3998.248,3989.165,3994.685,3886
2025-10-08 00:45:00,3994.465,3997.548,3991.488,3992.098,2486
2025-10-08 01:00:00,3992.098,3992.298,3984.045,3988.248,4856
2025-10-08 01:15:00,3988.248,3995.425,3984.605,3993.795,3912
2025-10-08 01:30:00,3993.875,3995.698,3990.845,3993.625,3199
2025-10-08 01:45:00,3993.735,4000.525,3993.445,4000.345,2796
2025-10-08 02:00:00,4000.455,4004.415,3995.395,4004.335,3720
2025-10-08 02:15:00,4004.365,4005.805,4001.885,4003.485,3823
2025-10-08 02:30:00,4003.505,4007.105,4003.345,4006.325,2093
2025-10-08 02:45:00,4006.355,4011.545,4005.845,4011.435,2527
2025-10-08 03:00:00,4011.415,4014.348,4010.005,4013.095,2788
2025-10-08 03:15:00,4013.125,4013.345,4008.698,4011.135,2232
2025-10-08 03:30:00,4011.105,4013.005,4010.145,4012.915,1719
2025-10-08 03:45:00,4012.885,4016.345,4010.828,4014.498,2805
2025-10-08 04:00:00,4014.598,4021.285,4014.348,4019.465,3517
2025-10-08 04:15:00,4019.485,4020.195,4017.545,4018.255,1884
2025-10-08 04:30:00,4018.215,4019.965,4016.798,4019.385,1863
2025-10-08 04:45:00,4019.395,4027.075,4018.395,4026.565,3275
2025-10-08 05:00:00,4026.535,4029.598,4024.395,4029.395,2480
2025-10-08 05:15:00,4029.498,4034.405,4028.725,4033.195,2993
2025-10-08 05:30:00,4033.225,4036.785,4029.588,4030.048,3339
2025-10-08 05:45:00,4030.048,4032.635,4028.098,4028.905,3786
2025-10-08 06:00:00,4028.915,4032.735,4026.415,4027.135,3738
2025-10-08 06:15:00,4027.125,4027.965,4021.048,4026.195,4745
2025-10-08 06:30:00,4026.265,4031.575,4025.285,4030.635,3280
2025-10-08 06:45:00,4030.655,4032.885,4029.565,4031.405,3457
2025-10-08 07:00:00,4031.375,4038.885,4029.975,4036.675,4485
2025-10-08 07:15:00,4036.545,4037.985,4031.488,4036.085,3939
2025-10-08 07:30:00,4036.115,4038.585,4034.278,4035.798,3221
2025-10-08 07:45:00,4035.725,4037.585,4030.745,4034.055,3278
2025-10-08 08:00:00,4033.975,4039.745,4032.925,4036.575,3601
2025-10-08 08:15:00,4036.555,4040.185,4034.845,4037.865,2699
2025-10-08 08:30:00,4037.885,4040.085,4036.205,4038.465,2281
2025-10-08 08:45:00,4038.485,4040.305,4036.145,4036.145,2909
