entry_time,exit_time,direction,entry_price,sl,sl_pips,exit_price,exit_reason,grade,score,lot_size,pnl_pips,pnl_usd,session,tp1_hit,tp2_hit
2025-10-29 14:45:00,2025-10-29 15:00:00,SELL,4007.7,4010.34,23.4,4010.34,SL,B,22,0.85,-23.4,-198.9,LN/NY overlap,False,False
2025-10-31 17:00:00,2025-10-31 17:15:00,SELL,3982.5,3985.82,30.1,3985.82,SL,A,28,0.65,-30.1,-195.65,NY,False,False
2025-11-06 16:00:00,2025-11-06 16:30:00,SELL,3981.36,3981.1600000000003,31.4,3981.1600000000003,SL@BE,A,28,0.61,0.0,120.0,NY,True,False
2025-11-07 12:15:00,2025-11-07 13:00:00,SELL,3997.88,3997.6800000000003,10.1,3997.6800000000003,SL@BE,A+,33,1.93,0.0,384.0,LN/NY overlap,True,False
2025-11-18 17:30:00,2025-11-18 17:45:00,BUY,4073.14,4071.38,14.5,4071.38,SL,A+,31,1.39,-14.5,-201.55,NY,False,False
2025-12-30 15:15:00,2025-12-30 15:30:00,SELL,4365.56,4369.42,35.6,4369.42,SL,A+,33,0.56,-35.6,-199.36,LN/NY overlap,False,False
2026-03-06 14:45:00,2026-03-06 15:00:00,BUY,5130.14,5128.64,12.0,5128.64,SL,A+,33,1.62,-12.0,-194.4,LN/NY overlap,False,False
2026-03-17 11:45:00,2026-03-17 12:00:00,SELL,5002.72,5004.2,11.9,5004.2,SL,A,28,1.6,-11.9,-190.4,London,False,False
