time,open,high,low,close,volume
2026-02-13 01:00:00,5076.26474,5076.41285,5067.08511,5071.43177,9327
2026-02-13 01:15:00,5070.35322,5071.40117,5058.20475,5061.5106,13196
2026-02-13 01:30:00,5061.27513,5068.86276,5056.00793,5057.43088,12854
2026-02-13 01:45:00,5057.46597,5058.46915,5041.50366,5042.11551,16965
2026-02-13 02:00:00,5042.38936,5063.95329,5042.10073,5063.43148,21852
2026-02-13 02:15:00,5063.26033,5067.61929,5063.26033,5065.01471,4358
2026-02-13 02:30:00,5065.07691,5071.37433,5065.02802,5070.58708,6346
2026-02-13 02:45:00,5070.64097,5074.04509,5067.12759,5067.2993,6917
2026-02-13 03:00:00,5066.35096,5067.26712,4983.34382,4983.34382,83923
2026-02-13 03:15:00,4987.29844,4987.29844,4891.22479,4892.33262,96073
2026-02-13 03:30:00,4892.09024,4962.33997,4892.09024,4954.3482,70249
2026-02-13 03:45:00,4954.22827,4957.24222,4935.01029,4951.57085,22231
2026-02-13 04:00:00,4951.51807,4960.9507,4944.37876,4960.9507,16571
2026-02-13 04:15:00,4960.66472,4978.49988,4958.1074,4971.64516,20392
2026-02-13 04:30:00,4973.13942,4974.26162,4954.32505,4968.5197,19936
2026-02-13 04:45:00,4968.9165,4968.9165,4943.28422,4943.62055,25632
2026-02-13 05:00:00,4942.99972,4946.15615,4925.81804,4929.22707,20338
2026-02-13 05:15:00,4928.56731,4932.5219,4910.71615,4928.65095,21805
2026-02-13 05:30:00,4928.39903,4944.06436,4928.39903,4943.56345,15665
2026-02-13 05:45:00,4942.97561,4949.77992,4935.42089,4936.34789,14359
2026-02-13 06:00:00,4936.31882,4940.29291,4930.77851,4933.53038,9514
2026-02-13 06:15:00,4933.47867,4947.70333,4931.82283,4932.07557,15880
2026-02-13 06:30:00,4932.10639,4949.27174,4932.10639,4944.60009,17165
2026-02-13 06:45:00,4944.61884,4956.84004,4943.90843,4945.1794,12931
2026-02-13 07:00:00,4944.9452,4947.45349,4937.25632,4940.54971,10197
2026-02-13 07:15:00,4940.58498,4940.65064,4921.84029,4923.8301,18810
2026-02-13 07:30:00,4922.29699,4927.16692,4913.78988,4918.8265,13377
